Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Z.score	Combined.Score	Genes	log10P
translation (GO:0006412)	13/348	5.41073505124322e-06	0.00842721984231131	4.18492140652482e-05	0.0644380650265516	-4.36462736072755	52.9303842240636	HBS1L;ITIH2;RPL21;RPL31;RPL36A;RPL13A;RPL35A;MIA3;LAMB1;RPL23A;PCSK5;KTN1;VCAN	2.07431567641728
SRP-dependent cotranslational protein targeting to membrane, signal sequence processing (GO:0006618)	9/108	2.36841223046372e-07	0.000737760409789448	1.75554703821806e-06	0.00546852902404927	-2.91786607098381	44.5146025704317	SPCS2;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A;PCSK5;CLN5	3.13208465389548
signal peptide processing (GO:0006465)	9/250	0.000207345712209989	0.0274156000291861	0.000856191066504447	0.0926643747682258	-4.07676448616306	34.5755412549864	SPCS2;VCAN;ITIH2;LONP2;MIA3;LAMB1;PCSK5;KTN1;CLN5	1.56200224452743
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	7/102	1.94652155753566e-05	0.0151585366293089	8.27455088623455e-05	0.0644380650265516	-2.88538235278503	31.2974004684436	FGB;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.8193427224831
chloroplast rRNA processing (GO:1901259)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.37697067488665	30.5903579935245	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
maturation of 2S rRNA (GO:0000475)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.37528841132909	30.5751191746482	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
maturation of 4.5S rRNA (GO:0000476)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.37433166334218	30.5664524534218	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
rRNA 3'-end processing (GO:0031125)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.3718891979116	30.5443273303155	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
rRNA 5'-end processing (GO:0000967)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.36907170033683	30.5188049708532	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
snoRNA release from pre-rRNA (GO:1990417)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.36718062763801	30.5016746500959	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
cleavage involved in rRNA processing (GO:0000469)	8/184	0.000130407907282813	0.0261715542230128	0.000513302926160973	0.0926643747682258	-3.38519644714482	30.2800516634172	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
maturation of 5.8S rRNA (GO:0000460)	8/187	0.000145785610006582	0.0261715542230128	0.000568719771136165	0.0926643747682258	-3.4225836258469	30.2329592969417	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
maturation of 5S rRNA (GO:0000481)	8/182	0.000120920381937947	0.0261715542230128	0.000478855433048844	0.0926643747682258	-3.34869852344172	30.2065272578708	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
rRNA modification (GO:0000154)	8/187	0.000145785610006582	0.0261715542230128	0.000568719771136165	0.0926643747682258	-3.41317870872026	30.1498821517892	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
maturation of SSU-rRNA (GO:0030490)	8/186	0.000140501935807645	0.0261715542230128	0.000549734104954365	0.0926643747682258	-3.38050879094236	29.9860909274247	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	7/100	1.71025905325004e-05	0.0151585366293089	7.35652340552546e-05	0.0644380650265516	-2.71967436366673	29.8519089910468	SPCS2;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.8193427224831
rRNA processing (GO:0006364)	8/188	0.000151232095028645	0.0261715542230128	0.000588233055291008	0.0926643747682258	-3.36259849057164	29.5797528180274	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721
maturation of LSU-rRNA (GO:0000470)	8/203	0.000255233515520513	0.0274156000291861	0.000951929371615803	0.0926643747682258	-3.48070451312735	28.7970229335598	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.56200224452743
post-translational protein modification (GO:0043687)	10/429	0.00266383596359829	0.136030311911618	0.00949252983121128	0.389068821371357	-4.8508314945662	28.7556713915111	VCAN;ITIH2;UBE2I;PSME3;STT3A;MIA3;LAMB1;ASB3;DCAF13;KTN1	0.866364306121481
regulation of translation by machinery localization (GO:0043143)	8/194	0.000187550096966433	0.0274156000291861	0.000717008944891524	0.0926643747682258	-3.31373885669977	28.436732574511	HBS1L;NIPBL;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.56200224452743
C-terminal protein amino acid modification (GO:0018410)	9/355	0.00248081681636433	0.128795739716248	0.0082719568302862	0.376498400284602	-4.40009786452473	26.3969237166881	VCAN;ITIH2;PSME3;STT3A;MIA3;LAMB1;ASB3;DCAF13;KTN1	0.890098502258233
CAAX-box protein modification (GO:0071587)	9/355	0.00248081681636433	0.128795739716248	0.0082719568302862	0.376498400284602	-4.39700885222192	26.378392214747	VCAN;ITIH2;PSME3;STT3A;MIA3;LAMB1;ASB3;DCAF13;KTN1	0.890098502258233
N-terminal protein amino acid propionylation (GO:0061606)	9/355	0.00248081681636433	0.128795739716248	0.0082719568302862	0.376498400284602	-4.3950836408206	26.3668425492478	VCAN;ITIH2;PSME3;STT3A;MIA3;LAMB1;ASB3;DCAF13;KTN1	0.890098502258233
ubiquitin-dependent ERAD pathway (GO:0030433)	8/247	0.000932667546304073	0.0695452834661456	0.00313022616446814	0.217568117453236	-3.77694602098377	26.3534963866763	ATXN3;PSME3;CDC27;PCBP2;DNAJC10;PPP2R5C;RNF4;BIRC2	1.15773231835468
nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	7/143	0.000167047531211456	0.0273870031433519	0.000591266788817225	0.0926643747682258	-3.01201055921073	26.196155125956	HBS1L;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.56245548835622
post-translational protein acetylation (GO:0034421)	9/368	0.00315000821190322	0.149485226692908	0.0102686780344204	0.41210792436528	-4.45769522372655	25.6778856590959	VCAN;ITIH2;PSME3;STT3A;MIA3;LAMB1;ASB3;DCAF13;KTN1	0.825401725618998
maintenance of translational fidelity (GO:1990145)	7/152	0.000243197691554738	0.0274156000291861	0.000835101558880093	0.0926643747682258	-3.08262529787076	25.6524853446388	HBS1L;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.56200224452743
N-terminal peptidyl-proline dimethylation involved in translation (GO:0071891)	7/153	0.000253147919689826	0.0274156000291861	0.00086647381640701	0.0926643747682258	-3.09590134585601	25.6388202353564	HBS1L;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.56200224452743
plastid translation (GO:0032544)	7/152	0.000243197691554738	0.0274156000291861	0.000835101558880093	0.0926643747682258	-3.08027906023573	25.6329608093054	HBS1L;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.56200224452743
cytoplasmic translation (GO:0002181)	7/157	0.000296280062522229	0.0286500427278015	0.0010013937402263	0.0945255000243917	-3.15346273146983	25.619378932139	HBS1L;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.54287472600254
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	8/249	0.000982341082667868	0.0695452834661456	0.00328272922000067	0.217568117453236	-3.68025100222272	25.4878432027845	ATXN3;UBE2I;PSME3;CDC27;PCBP2;PPP2R5C;RNF4;BIRC2	1.15773231835468
SRP-dependent cotranslational protein targeting to membrane, docking (GO:0006615)	6/88	8.06366388999003e-05	0.0261715542230128	0.000279499136732342	0.0926643747682258	-2.6850252568889	25.307859772745	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.58217048559721
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	6/92	0.00010331548807617	0.0261715542230128	0.000350273688205955	0.0926643747682258	-2.74832224457647	25.2233409903106	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.58217048559721
translational termination (GO:0006415)	7/159	0.000319957037155253	0.0293137109040769	0.00107478501846792	0.0984692744861046	-3.12854170462346	25.1763882129963	HBS1L;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.53292919953669
translational elongation (GO:0006414)	7/162	0.000358297697288352	0.0318884950586633	0.00119273542296649	0.106153452644018	-3.17152950816439	25.1633793042429	HBS1L;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.49636597630864
mitochondrial translation (GO:0032543)	7/167	0.000430311610627198	0.0352742280816769	0.00141166432111849	0.115719325270634	-3.2125271133886	24.9003006623193	HBS1L;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.45254248128832
DNA-templated viral transcription (GO:0039695)	6/108	0.000249294880793172	0.0274156000291861	0.000783795039944315	0.0926643747682258	-2.99071197439081	24.8135607267717	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.56200224452743
middle viral transcription (GO:0019084)	6/108	0.000249294880793172	0.0274156000291861	0.000783795039944315	0.0926643747682258	-2.98837356053144	24.7941592013822	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.56200224452743
RNA-templated viral transcription (GO:0039696)	6/108	0.000249294880793172	0.0274156000291861	0.000783795039944315	0.0926643747682258	-2.98661610622096	24.7795778242282	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.56200224452743
early viral transcription (GO:0019085)	6/110	0.000275358163377481	0.0285913559640285	0.000858626140189331	0.0926643747682258	-3.01891178562748	24.7473418744301	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.54376524744961
