Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Z.score	Combined.Score	Genes	log10P
cytosolic large ribosomal subunit (GO:0022625)	6/68	1.86065670039347e-05	0.00645647875036535	0.000161594317756534	0.0560732282615173	-2.05413479540894	22.3736279233527	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	2.19000427399028
transcription factor TFIIE complex (GO:0005673)	4/43	0.000400203152562723	0.0288101446950353	0.00177175522916335	0.105018631552515	-2.50146217204164	19.5702850048521	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911
transcription factor TFIIF complex (GO:0005674)	4/45	0.000477138400816076	0.0288101446950353	0.00206939790511634	0.105018631552515	-2.42648166834931	18.5570134655997	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911
transcription factor TFIIA complex (GO:0005672)	4/47	0.000564062844421714	0.0288101446950353	0.00239994343084452	0.105018631552515	-2.42875870408141	18.1679527523603	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911
endoplasmic reticulum lumen (GO:0005788)	8/264	0.00142627244818875	0.0288101446950353	0.0105361020992753	0.10753021848378	-2.75402207914206	18.0462554648732	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911
smooth endoplasmic reticulum lumen (GO:0048238)	8/264	0.00142627244818875	0.0288101446950353	0.0105361020992753	0.10753021848378	-2.73736831675391	17.9371285073285	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911
core mediator complex (GO:0070847)	4/49	0.00066167917227274	0.0288101446950353	0.00276515697481884	0.105018631552515	-2.42708034320002	17.7679992826707	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911
cortical endoplasmic reticulum lumen (GO:0099021)	8/268	0.00156816424766355	0.0288101446950353	0.0114414303898896	0.113433609865477	-2.72284369245384	17.5837150849037	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911
perinuclear endoplasmic reticulum lumen (GO:0099020)	8/271	0.00168175528255295	0.0288101446950353	0.0121574139925434	0.114016828524664	-2.7333551776296	17.4604466074434	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911
sarcoplasmic reticulum lumen (GO:0033018)	8/286	0.00235115818995559	0.0288101446950353	0.0162435171731323	0.140912511476923	-2.7848130654699	16.856048036714	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911
rough endoplasmic reticulum lumen (GO:0048237)	8/281	0.00210820073360862	0.0288101446950353	0.0147844231780575	0.135005127441736	-2.69933671446859	16.6330980433787	VCAN;ITIH2;ADAMTSL4;DNAJC10;MIA3;LAMB1;UGGT2;KTN1	1.54045456052911
holo TFIIH complex (GO:0005675)	4/54	0.000957147658223392	0.0288101446950353	0.00384118767284487	0.105018631552515	-2.2829574199142	15.8700992401038	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911
transcription factor TFTC complex (GO:0033276)	4/57	0.00117325391398706	0.0288101446950353	0.00460694877387344	0.105018631552515	-2.20194318462718	14.8586559478635	NONO;TCF12;HNRNPAB;RPAP2	1.54045456052911
nucleolar part (GO:0044452)	11/635	0.0145143607839066	0.119635313865115	0.10192490820991	0.7488910804144	-3.09386741677336	13.0951549601327	FXR1;ATXN3;ORC4;DIAPH2;KRR1;SCAF11;RPL13A;ACSL5;RPL23A;RPAP2;DCAF13	0.922140606693716
nucleolus (GO:0005730)	11/637	0.0148251253492793	0.119635313865115	0.103593002478073	0.7488910804144	-3.09107222600132	13.0178401124739	FXR1;ATXN3;ORC4;DIAPH2;KRR1;SCAF11;RPL13A;ACSL5;RPL23A;RPAP2;DCAF13	0.922140606693716
focal adhesion (GO:0005925)	8/356	0.00862196196811674	0.0729712390960124	0.0489201962396829	0.414031904760243	-2.39657198715648	11.3919674105371	RPL31;PCBP2;RRAS2;RPL13A;PTK2B;LCP1;LPP;ADD1	1.13684827910033
Beta-catenin-ICAT complex (GO:1990711)	3/33	0.00238120173636445	0.0288101446950353	0.00728755363150676	0.105018631552515	-1.69667262421503	10.2481571299238	NONO;TCF12;HNRNPAB	1.54045456052911
C/EBP complex (GO:1990647)	3/33	0.00238120173636445	0.0288101446950353	0.00728755363150676	0.105018631552515	-1.64212893819448	9.91870508548917	NONO;TCF12;HNRNPAB	1.54045456052911
core-binding factor complex (GO:0016513)	3/33	0.00238120173636445	0.0288101446950353	0.00728755363150676	0.105018631552515	-1.61993922442134	9.78467588612	NONO;TCF12;HNRNPAB	1.54045456052911
