Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Z.score	Combined.Score	Genes	log10P
Ribosome_Homo sapiens_hsa03010	7/137	0.00012800008087233	0.0199680126160835	0.00051145088350557	0.0797863378268689	-1.74613804904516	15.6514728900619	RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A;MRPL22	1.69966515760395
Apoptosis_Homo sapiens_hsa04210	6/140	0.00098878330642675	0.0771250979012865	0.00307449741922225	0.239810798699336	-1.93555609950542	13.3921810822491	MAPK10;BCL2L11;PIK3CD;ATM;SPTAN1;BIRC2	1.11280427167233
Central carbon metabolism in cancer_Homo sapiens_hsa05230	4/67	0.00213854625377804	0.100415508411601	0.00517430042312984	0.269063622002752	-1.82126390146505	11.1964547799509	LDHA;ERBB2;PIK3CD;SIRT6	0.998199208531108
Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141	6/169	0.00257475662593849	0.100415508411601	0.00742003320504586	0.282302145745737	-1.74267968058563	10.3898567149031	MAPK10;ATXN3;HSP90AB1;DNAJC10;STT3A;UGGT2	0.998199208531108
FoxO signaling pathway_Homo sapiens_hsa04068	5/133	0.00458528376604971	0.122187052904808	0.0114956724529482	0.282302145745737	-1.72459919885637	9.28679989140532	MAPK10;BCL2L11;PIK3CD;ATM;PCK2	0.912974810050013
ErbB signaling pathway_Homo sapiens_hsa04012	4/87	0.0054827523739337	0.122187052904808	0.0122842004962396	0.282302145745737	-1.72165997068782	8.96321669243543	MAPK10;ERBB2;PIK3CD;CBL	0.912974810050013
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	4/98	0.0083105256618684	0.144049111472386	0.0180184713043376	0.312320169275186	-1.71648891594974	8.22238084615399	MAPK10;HSP90AB1;CDC27;PIK3CD	0.841489416202242
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	5/137	0.00519428648844046	0.122187052904808	0.0128935885915176	0.282302145745737	-1.52611579165962	8.02766819761054	UBE2I;CDC27;UBE3A;CBL;BIRC2	0.912974810050013
N-Glycan biosynthesis_Homo sapiens_hsa00510	3/49	0.0073168519016616	0.142678612082401	0.014477033115166	0.282302145745737	-1.46262542565255	7.19257039077315	FUT8;MAN2A2;STT3A	0.845641123947408
Toxoplasmosis_Homo sapiens_hsa05145	4/118	0.0156021027046291	0.213850490772282	0.0321822203255393	0.418368864232011	-1.65235213839368	6.8743625333252	MAPK10;PIK3CD;LAMB1;BIRC2	0.669889748729829
PI3K-Akt signaling pathway_Homo sapiens_hsa04151	7/341	0.021330253771436	0.230637130687894	0.055149721798965	0.448604243559094	-1.7299920689244	6.65636739323682	GHR;BCL2L11;HSP90AB1;PIK3CD;LAMB1;PPP2R5C;PCK2	0.637070773560214
Pancreatic cancer_Homo sapiens_hsa05212	3/66	0.016450037751714	0.213850490772282	0.0304888018237336	0.418368864232011	-1.60438507275301	6.58989537938339	MAPK10;ERBB2;PIK3CD	0.669889748729829
NOD-like receptor signaling pathway_Homo sapiens_hsa04621	3/57	0.0110871631861771	0.172959745704362	0.0211991547401049	0.330706813945637	-1.45106898639745	6.53266514074261	MAPK10;HSP90AB1;BIRC2	0.762054961915704
Focal adhesion_Homo sapiens_hsa04510	5/202	0.0244882923573409	0.230637130687894	0.0533137003252103	0.448604243559094	-1.56997040718956	5.82389964130776	MAPK10;ERBB2;PIK3CD;LAMB1;BIRC2	0.637070773560214
Adipocytokine signaling pathway_Homo sapiens_hsa04920	3/70	0.0192242869900417	0.230637130687894	0.035202700735285	0.42243240882342	-1.42095933311505	5.61503569209774	MAPK10;ACSL5;PCK2	0.637070773560214
Insulin signaling pathway_Homo sapiens_hsa04910	4/139	0.0266119766178339	0.230637130687894	0.052543544090408	0.448604243559094	-1.35438384920434	4.91152935032477	MAPK10;PIK3CD;CBL;PCK2	0.637070773560214
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932	4/151	0.0345599647689766	0.253264581155312	0.0667267925731774	0.448604243559094	-1.44652043993188	4.8676271378147	MAPK10;BCL2L11;PIK3CD;NDUFS1	0.596425541691284
Antigen processing and presentation_Homo sapiens_hsa04612	3/77	0.0246639708805772	0.230637130687894	0.0443043950310594	0.448604243559094	-1.30265667154039	4.82297139173452	HSP90AB1;PSME3;KLRD1	0.637070773560214
Complement and coagulation cascades_Homo sapiens_hsa04610	3/79	0.0263550037162387	0.230637130687894	0.0471008268962762	0.448604243559094	-1.30240007439882	4.73565316959614	FGB;CFH;C1S	0.637070773560214
Pathways in cancer_Homo sapiens_hsa05200	7/397	0.043180620885839	0.269447074327635	0.10285917361494	0.516732294978095	-1.46913746964776	4.6165639243523	MAPK10;HSP90AB1;ERBB2;PIK3CD;LAMB1;CBL;BIRC2	0.569526527637679
Prostate cancer_Homo sapiens_hsa05215	3/89	0.0357167999065183	0.253264581155312	0.0623472572121092	0.448604243559094	-1.34651751829605	4.4867769595236	HSP90AB1;ERBB2;PIK3CD	0.596425541691284
Small cell lung cancer_Homo sapiens_hsa05222	3/86	0.0327504360169597	0.253264581155312	0.0575560660551213	0.448604243559094	-1.29242996754083	4.41860998231379	PIK3CD;LAMB1;BIRC2	0.596425541691284
