Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Z.score	Combined.Score	Genes	log10P
21U-RNA binding (GO:0034583)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.65646347171998	23.3178023577225	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
alpha-aminoacyl-tRNA binding (GO:1904678)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.65059590898323	23.2803840519537	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
base pairing with RNA (GO:0000498)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.64355902194596	23.2355087940938	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
7S RNA binding (GO:0008312)	20/1200	0.0017167572015316	0.0383644478484125	0.0189575539232365	0.128788314833532	-3.6451147430249	23.2096051367358	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
BRE binding (GO:0042835)	20/1200	0.0017167572015316	0.0383644478484125	0.0189575539232365	0.128788314833532	-3.64024937042101	23.1786257616158	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
GU repeat RNA binding (GO:1990605)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.63440677378812	23.1771435689729	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
histone pre-mRNA DCP binding (GO:0071208)	20/1200	0.0017167572015316	0.0383644478484125	0.0189575539232365	0.128788314833532	-3.63224542990413	23.1276621261665	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
misfolded RNA binding (GO:0034336)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.62606899478198	23.1239723327576	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
G-quadruplex RNA binding (GO:0002151)	20/1201	0.00173368835856686	0.0383644478484125	0.0191119479271692	0.128788314833532	-3.63681335485701	23.1210559627691	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
N6-methyladenosine-containing RNA binding (GO:1990247)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.62308300151964	23.1049302169888	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
AU-rich element binding (GO:0017091)	20/1203	0.00176797826684102	0.0383644478484125	0.0194237084897895	0.128788314833532	-3.64278099880049	23.0876494748095	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
pre-mRNA binding (GO:0036002)	20/1200	0.0017167572015316	0.0383644478484125	0.0189575539232365	0.128788314833532	-3.62241530545604	23.0650705966895	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
regulatory region RNA binding (GO:0001069)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.61554410773168	23.0568535886557	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
pre-miRNA binding (GO:0070883)	20/1201	0.00173368835856686	0.0383644478484125	0.0191119479271692	0.128788314833532	-3.62599747242015	23.0522939453906	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
snRNA binding (GO:0017069)	20/1202	0.00175076172799522	0.0383644478484125	0.0192673313978	0.128788314833532	-3.6291282013656	23.0366327348247	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
RNA stem-loop binding (GO:0035613)	20/1200	0.0017167572015316	0.0383644478484125	0.0189575539232365	0.128788314833532	-3.61773577480393	23.0352745363957	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
piRNA binding (GO:0034584)	20/1202	0.00175076172799522	0.0383644478484125	0.0192673313978	0.128788314833532	-3.6257266758388	23.0150408565687	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
ribonuclease P RNA binding (GO:0033204)	20/1199	0.00169996730381786	0.0383644478484125	0.0188041452308959	0.128788314833532	-3.60813975420874	23.0096349432706	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
RNA cap binding (GO:0000339)	20/1201	0.00173368835856686	0.0383644478484125	0.0191119479271692	0.128788314833532	-3.61652145101564	22.9920501000732	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
miRNA binding (GO:0035198)	20/1203	0.00176797826684102	0.0383644478484125	0.0194237084897895	0.128788314833532	-3.62555017258285	22.9784419007047	HSP90AB1;UBE2I;RPL21;SCAF11;RPL31;KRR1;NONO;RPL36A;RPL13A;RPL35A;RPL23A;HNRNPAB;ADD1;MRPL22;KTN1;FXR1;EIF3L;PCBP2;DCAF13;R3HDM2	1.4160710479028
