Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Z.score	Combined.Score	Genes	log10P	class	regions
SRP-dependent cotranslational protein targeting to membrane, signal sequence processing (GO:0006618)	9/108	2.36841223046372e-07	0.000737760409789448	1.75554703821806e-06	0.00546852902404927	-2.91786607098381	44.5146025704317	SPCS2;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A;PCSK5;CLN5	3.13208465389548	Biological_Process	GOterm_Results
translation (GO:0006412)	13/348	5.41073505124322e-06	0.00842721984231131	4.18492140652482e-05	0.0644380650265516	-4.36462736072755	52.9303842240636	HBS1L;ITIH2;RPL21;RPL31;RPL36A;RPL13A;RPL35A;MIA3;LAMB1;RPL23A;PCSK5;KTN1;VCAN	2.07431567641728	Biological_Process	GOterm_Results
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	7/102	1.94652155753566e-05	0.0151585366293089	8.27455088623455e-05	0.0644380650265516	-2.88538235278503	31.2974004684436	FGB;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.8193427224831	Biological_Process	GOterm_Results
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	7/100	1.71025905325004e-05	0.0151585366293089	7.35652340552546e-05	0.0644380650265516	-2.71967436366673	29.8519089910468	SPCS2;RPL21;RPL31;RPL36A;RPL13A;RPL35A;RPL23A	1.8193427224831	Biological_Process	GOterm_Results
chloroplast rRNA processing (GO:1901259)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.37697067488665	30.5903579935245	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
maturation of 2S rRNA (GO:0000475)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.37528841132909	30.5751191746482	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
maturation of 4.5S rRNA (GO:0000476)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.37433166334218	30.5664524534218	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
rRNA 3'-end processing (GO:0031125)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.3718891979116	30.5443273303155	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
rRNA 5'-end processing (GO:0000967)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.36907170033683	30.5188049708532	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
snoRNA release from pre-rRNA (GO:1990417)	8/181	0.000116395058943213	0.0261715542230128	0.000462349866996607	0.0926643747682258	-3.36718062763801	30.5016746500959	RPL21;RPL31;KRR1;RPL36A;RPL13A;RPL35A;RPL23A;DCAF13	1.58217048559721	Biological_Process	GOterm_Results
