,Raw_reads,Clean_reads,Clean_reads_ratio,rRNA,rRNA_ratio,Kept_reads,hg38,hg38_ratio,miRNA_pre,miRNA_pre_ratio,piRNA,piRNA_ratio,Y_RNA,Y_RNA_ratio,snRNA,snRNA_ratio,srpRNA,srpRNA_ratio,tRNA,tRNA_ratio,other_lncRNA,other_lncRNA_ratio,mRNA,mRNA_ratio,other_genomic_region,non_human,other_genomic_region_ratio,non_human_ratio
0,10000000,9312406,93.1%,430323,4.62%,8882083,8087123,86.84%,2988606,32.09%,399779,4.29%,2999667,32.21%,17397,0.19%,1889,0.02%,11749,0.13%,348378,3.74%,193670,2.08%,1125988,794960,0.1267707135814876,0.08950152796365447
1,10000000,9502139,95.0%,218169,2.30%,9283970,8606253,90.57%,4790759,50.42%,114774,1.21%,2269186,23.88%,29897,0.31%,1688,0.02%,8321,0.09%,102259,1.08%,63028,0.66%,1226341,677717,0.13209230533920294,0.07299862020234878
2,10000000,9296659,93.0%,549498,5.91%,8747161,7777405,83.66%,2465426,26.52%,376184,4.05%,3513389,37.79%,13480,0.14%,1587,0.02%,13855,0.15%,271412,2.92%,105254,1.13%,1016818,969756,0.11624548810751283,0.1108652281580275
3,10000000,8978108,89.8%,481869,5.37%,8496239,7329237,81.63%,4312497,48.03%,225351,2.51%,1599894,17.82%,10458,0.12%,1241,0.01%,10629,0.12%,240436,2.68%,86592,0.96%,842139,1167002,0.09911903372774707,0.13735512854570123
4,10000000,9296170,93.0%,178380,1.92%,9117790,6879091,74.00%,3883900,41.78%,70739,0.76%,1843861,19.83%,34856,0.37%,2705,0.03%,11785,0.13%,89145,0.96%,61936,0.67%,880164,2238699,0.09653260274693758,0.2455308797416918
5,10000000,8916646,89.2%,432462,4.85%,8484184,7105413,79.69%,3507872,39.34%,200060,2.24%,2298335,25.78%,12081,0.14%,1370,0.02%,10161,0.11%,204007,2.29%,82967,0.93%,788560,1378771,0.09294470746980499,0.16251073762662385
6,10000000,9521351,95.2%,42734,0.45%,9478617,9060045,95.16%,3085844,32.41%,111336,1.17%,5646771,59.31%,1400,0.01%,415,0.00%,6381,0.07%,15184,0.16%,15840,0.17%,176874,418572,0.018660317217163644,0.04415960682871773
7,10000000,9755014,97.6%,98225,1.01%,9656789,9365842,96.01%,2841311,29.13%,190697,1.95%,6087539,62.40%,1337,0.01%,319,0.00%,7560,0.08%,28740,0.29%,18382,0.19%,189957,290947,0.019670824328873706,0.030128751907078016
8,10000000,9226584,92.3%,60950,0.66%,9165634,8446284,91.54%,3233721,35.05%,140393,1.52%,4819793,52.24%,1162,0.01%,497,0.01%,7583,0.08%,17414,0.19%,16666,0.18%,209055,719350,0.022808569489028256,0.0784833869648297
average,10000000.0,9311675.0,93.1333%,276956.0,3.0100%,9034718.0,8072965.0,86.5667%,3456659.0,37.1967%,203257.0,2.1889%,3453159.0,36.8067%,13563.0,0.1444%,1301.0,0.0144%,9780.0,0.1067%,146330.0,1.5900%,71592.0,0.7744%,717321.0,961752.0,8.0538%,10.7948%
