file_name	01.Raw_reads	02.reads_shorter_than_36nt	03.Clean_reads	05.Kept_reads	remove_rRNA	mapping_hg38	mapping_miRNA	mapping_piRNA	mapping_Y_RNA	mapping_snRNA	mapping_srpRNA	mapping_tRNA	mapping_other_lncRNA	mapping_mRNA	
AfterSurgery_1	66448520	6814017 (10.3%)	59634503 (89.7%)	56640760	2993743	5.02%	48736526	81.73%	28617222	47.99%	1344004	2.25%	10731305	18.00%	69142	0.12%	16023	0.03%	74897	0.13%	5109788	8.57%	455088	0.76%
AfterSurgery_2	19811909	1340406 (6.8%)	18471503 (93.2%)	18120330	351173	1.90%	13702414	74.18%	7679708	41.58%	110497	0.60%	3650912	19.77%	67671	0.37%	13628	0.07%	25160	0.14%	1014445	5.49%	75886	0.41%
AfterSurgery_3	58813414	6181729 (10.5%)	52631685 (89.5%)	50079486	2552199	4.85%	42018095	79.83%	20545637	39.04%	1064436	2.02%	13571594	25.79%	73615	0.14%	16960	0.03%	65232	0.12%	4375977	8.31%	389364	0.74%
BeforeSurgery_1	70911180	4895011 (6.9%)	66016169 (93.1%)	64939498	1076671	1.63%	53921958	81.68%	39575057	59.95%	502999	0.76%	9815837	14.87%	40361	0.06%	15454	0.02%	94992	0.14%	2223669	3.37%	109932	0.17%
BeforeSurgery_2	34239617	5327612 (15.6%)	28912005 (84.4%)	28881911	30094	0.10%	25344538	87.66%	15782566	54.59%	112689	0.39%	7347350	25.41%	255477	0.88%	9020	0.03%	30145	0.10%	1012429	3.50%	66675	0.23%
BeforeSurgery_3	73816382	4006586 (5.4%)	69809796 (94.6%)	68484667	1325129	1.90%	61296659	87.81%	31936140	45.75%	1132797	1.62%	20756708	29.73%	46949	0.07%	34072	0.05%	94461	0.14%	4126074	5.91%	227141	0.33%
NC_1	38216683	2910852 (7.6%)	35305831 (92.4%)	34600786	705045	2.00%	23601095	66.85%	7812707	22.13%	537413	1.52%	12931143	36.63%	14942	0.04%	10380	0.03%	53060	0.15%	1609439	4.56%	73782	0.21%
NC_2	41141554	1560544 (3.8%)	39581010 (96.2%)	39022739	558271	1.41%	35836284	90.54%	18195534	45.97%	343881	0.87%	14885288	37.61%	44794	0.11%	9341	0.02%	35523	0.09%	1598628	4.04%	59125	0.15%
NC_3	65460372	11314071 (17.3%)	54146301 (82.7%)	52014193	2132108	3.94%	41518030	76.68%	19690176	36.36%	1112633	2.05%	14603587	26.97%	62345	0.12%	15424	0.03%	82156	0.15%	4165640	7.69%	274309	0.51%
	47707556	3121995 (6.5%)	44585561 (93.5%)	41403607	3181954	7.14%	37855489	84.91%	13672772	30.67%	2051463	4.60%	12008431	26.93%	77109	0.17%	14468	0.03%	98218	0.22%	6731014	15.10%	523954	1.18%
	42097233	2602479 (6.2%)	39494754 (93.8%)	38607655	887099	2.25%	34905846	88.38%	12303489	31.15%	661607	1.68%	18761366	47.50%	37959	0.10%	15783	0.04%	57028	0.14%	2066601	5.23%	96950	0.25%
	58482821	1794340 (3.1%)	56688481 (96.9%)	53619237	3069244	5.41%	50020765	88.24%	16553595	29.20%	2042067	3.60%	22560901	39.80%	61574	0.11%	15206	0.03%	59251	0.10%	5776361	10.19%	550118	0.97%
	43087789	5613938 (13.0%)	37473851 (87.0%)	35947584	1526267	4.07%	32411793	86.49%	8158739	21.77%	976661	2.61%	19118682	51.02%	44503	0.12%	10057	0.03%	44491	0.12%	2803132	7.48%	197360	0.53%
	52634081	5310672 (10.1%)	47323409 (89.9%)	46199641	1123768	2.37%	38739132	81.86%	10772801	22.76%	1100923	2.33%	23989119	50.69%	15453	0.03%	10489	0.02%	53120	0.11%	2029929	4.29%	88108	0.19%
	48063031	4288509 (8.9%)	43774522 (91.1%)	43109890	664632	1.52%	37098539	84.75%	7983760	18.24%	1905464	4.35%	21708510	49.59%	36149	0.08%	18922	0.04%	122400	0.28%	3590358	8.20%	989511	2.26%
	49992625	2875989 (5.8%)	47116636 (94.2%)	45062119	2054517	4.36%	40835423	86.67%	14965470	31.76%	1682738	3.57%	15102073	32.05%	86485	0.18%	23691	0.05%	62498	0.13%	5785992	12.28%	753168	1.60%
	88868931	4304979 (4.8%)	84563952 (95.2%)	82771666	1792286	2.12%	76691938	90.69%	42584742	50.36%	763105	0.90%	20216549	23.91%	264462	0.31%	41631	0.05%	79383	0.09%	9645253	11.41%	324758	0.38%
	39262269	2662191 (6.8%)	36600078 (93.2%)	34425181	2174897	5.94%	30639582	83.71%	9632730	26.32%	1350885	3.69%	13792790	37.69%	53498	0.15%	13635	0.04%	58198	0.16%	3941881	10.77%	330625	0.90%
	43227624	1840228 (4.3%)	41387396 (95.7%)	37490351	3897045	9.42%	34069863	82.32%	16535303	39.95%	1407445	3.40%	8826541	21.33%	52189	0.13%	28210	0.07%	94155	0.23%	5177480	12.51%	338321	0.82%
	45770202	1953015 (4.3%)	43817187 (95.7%)	43105923	711264	1.62%	39012512	89.03%	31740453	72.44%	187117	0.43%	5206052	11.88%	12368	0.03%	15537	0.04%	37024	0.08%	1058210	2.42%	55447	0.13%
	49144450	23181914 (47.2%)	25962536 (52.8%)	25906138	56398	0.22%	5524845	21.28%	505396	1.95%	278296	1.07%	451137	1.74%	7037	0.03%	44319	0.17%	42517	0.16%	1574064	6.06%	177125	0.68%
	41884557	6269905 (15.0%)	35614652 (85.0%)	35180315	434337	1.22%	31717864	89.06%	12444681	34.94%	317469	0.89%	17200772	48.30%	8830	0.02%	8752	0.02%	35425	0.10%	1175236	3.30%	63196	0.18%
	37434653	3288757 (8.8%)	34145896 (91.2%)	33066449	1079447	3.16%	31219240	91.43%	14166013	41.49%	227164	0.67%	14777954	43.28%	33941	0.10%	7139	0.02%	13859	0.04%	1414618	4.14%	65998	0.19%
	43716576	12637515 (28.9%)	31079061 (71.1%)	30160479	918582	2.96%	19661129	63.26%	11464207	36.89%	297214	0.96%	5262219	16.93%	12019	0.04%	9518	0.03%	34392	0.11%	1981772	6.38%	73787	0.24%
	28275533	2974029 (10.5%)	25301504 (89.5%)	24600278	701226	2.77%	20514459	81.08%	11841316	46.80%	261259	1.03%	6219412	24.58%	13946	0.06%	8602	0.03%	35944	0.14%	1632172	6.45%	63486	0.25%
	75361217	17981527 (23.9%)	57379690 (76.1%)	53161515	4218175	7.35%	36612702	63.81%	18181663	31.69%	1983869	3.46%	7218890	12.58%	103104	0.18%	11987	0.02%	69689	0.12%	5315762	9.26%	820795	1.43%
	51114668	14033973 (27.5%)	37080695 (72.5%)	36182806	897889	2.42%	23059790	62.19%	9267051	24.99%	697136	1.88%	11176041	30.14%	12693	0.03%	8814	0.02%	49310	0.13%	1244893	3.36%	62435	0.17%
	54910321	10176821 (18.5%)	44733500 (81.5%)	43594149	1139351	2.55%	35162137	78.60%	21104310	47.18%	497033	1.11%	8070290	18.04%	49818	0.11%	11883	0.03%	33795	0.08%	4048740	9.05%	162873	0.36%
	66183080	7622902 (11.5%)	58560178 (88.5%)	57001701	1558477	2.66%	49837532	85.10%	28513268	48.69%	1016560	1.74%	15772117	26.93%	41805	0.07%	12483	0.02%	73492	0.13%	2743412	4.68%	256223	0.44%
	40630502	2994372 (7.4%)	37636130 (92.6%)	36071668	1564462	4.16%	32391962	86.07%	16734694	44.46%	1006508	2.67%	11583126	30.78%	30021	0.08%	17244	0.05%	66923	0.18%	1908470	5.07%	162184	0.43%
	45071142	6671390 (14.8%)	38399752 (85.2%)	35939687	2460065	6.41%	30197127	78.64%	11350141	29.56%	1496605	3.90%	11847825	30.85%	28955	0.08%	6044	0.02%	45770	0.12%	3272334	8.52%	373943	0.97%
	47055699	8964665 (19.1%)	38091034 (80.9%)	37076285	1014749	2.66%	27374764	71.87%	9655630	25.35%	1283838	3.37%	13868040	36.41%	20682	0.05%	10484	0.03%	53075	0.14%	1637371	4.30%	107490	0.28%
